round,class_id,n,acc,bwt,forgetting
1,0,51,0.37254901960784315,,
1,1,45,0.8,,
1,2,51,0.0,,
1,3,54,0.07407407407407407,,
1,4,49,0.0,,
1,5,53,0.0,,
1,6,52,0.0,,
1,7,58,0.0,,
1,8,62,0.0,,
2,0,51,0.19607843137254902,-0.17647058823529413,0.17647058823529413
2,1,45,0.06666666666666667,-0.7333333333333334,0.7333333333333334
2,2,51,0.0,0.0,0.0
2,3,54,0.6666666666666666,0.5925925925925926,0.0
2,4,49,0.42857142857142855,0.42857142857142855,0.0
2,5,53,0.0,0.0,0.0
2,6,52,0.0,0.0,0.0
2,7,58,0.0,0.0,0.0
2,8,62,0.0,0.0,0.0
3,0,51,0.5098039215686274,0.13725490196078427,0.0
3,1,45,0.4222222222222222,-0.3777777777777778,0.3777777777777778
3,2,51,0.0,0.0,0.0
3,3,54,0.037037037037037035,-0.037037037037037035,0.6296296296296295
3,4,49,0.32653061224489793,0.32653061224489793,0.10204081632653061
3,5,53,0.0,0.0,0.0
3,6,52,0.0,0.0,0.0
3,7,58,0.0,0.0,0.0
3,8,62,0.0,0.0,0.0
4,0,51,0.2549019607843137,-0.11764705882352944,0.2549019607843137
4,1,45,0.022222222222222223,-0.7777777777777778,0.7777777777777778
4,2,51,0.0196078431372549,0.0196078431372549,0.0
4,3,54,0.48148148148148145,0.4074074074074074,0.18518518518518517
4,4,49,0.42857142857142855,0.42857142857142855,0.0
4,5,53,0.18867924528301888,0.18867924528301888,0.0
4,6,52,0.1346153846153846,0.1346153846153846,0.0
4,7,58,0.0,0.0,0.0
4,8,62,0.03225806451612903,0.03225806451612903,0.0
5,0,51,0.35294117647058826,-0.019607843137254888,0.15686274509803916
5,1,45,0.6444444444444445,-0.15555555555555556,0.15555555555555556
5,2,51,0.0,0.0,0.0196078431372549
5,3,54,0.1111111111111111,0.037037037037037035,0.5555555555555556
5,4,49,0.46938775510204084,0.46938775510204084,0.0
5,5,53,0.0,0.0,0.18867924528301888
5,6,52,0.0,0.0,0.1346153846153846
5,7,58,0.0,0.0,0.0
5,8,62,0.0,0.0,0.03225806451612903
6,0,51,0.21568627450980393,-0.1568627450980392,0.2941176470588235
6,1,45,0.2222222222222222,-0.5777777777777778,0.5777777777777778
6,2,51,0.13725490196078433,0.13725490196078433,0.0
6,3,54,0.2037037037037037,0.12962962962962962,0.4629629629629629
6,4,49,0.2857142857142857,0.2857142857142857,0.18367346938775514
6,5,53,0.11320754716981132,0.11320754716981132,0.07547169811320756
6,6,52,0.3269230769230769,0.3269230769230769,0.0
6,7,58,0.034482758620689655,0.034482758620689655,0.0
6,8,62,0.03225806451612903,0.03225806451612903,0.0
7,0,51,0.3137254901960784,-0.05882352941176472,0.196078431372549
7,1,45,0.5111111111111111,-0.288888888888889,0.288888888888889
7,2,51,0.09803921568627451,0.09803921568627451,0.03921568627450982
7,3,54,0.14814814814814814,0.07407407407407407,0.5185185185185185
7,4,49,0.2857142857142857,0.2857142857142857,0.18367346938775514
7,5,53,0.09433962264150944,0.09433962264150944,0.09433962264150944
7,6,52,0.1346153846153846,0.1346153846153846,0.19230769230769232
7,7,58,0.034482758620689655,0.034482758620689655,0.0
7,8,62,0.14516129032258066,0.14516129032258066,0.0
8,0,51,0.3333333333333333,-0.03921568627450983,0.1764705882352941
8,1,45,0.37777777777777777,-0.4222222222222223,0.4222222222222223
8,2,51,0.11764705882352941,0.11764705882352941,0.019607843137254916
8,3,54,0.07407407407407407,0.0,0.5925925925925926
8,4,49,0.32653061224489793,0.32653061224489793,0.1428571428571429
8,5,53,0.09433962264150944,0.09433962264150944,0.09433962264150944
8,6,52,0.17307692307692307,0.17307692307692307,0.15384615384615385
8,7,58,0.017241379310344827,0.017241379310344827,0.017241379310344827
8,8,62,0.0967741935483871,0.0967741935483871,0.04838709677419356
9,0,51,0.29411764705882354,-0.0784313725490196,0.21568627450980388
9,1,45,0.3333333333333333,-0.46666666666666673,0.46666666666666673
9,2,51,0.1568627450980392,0.1568627450980392,0.0
9,3,54,0.05555555555555555,-0.018518518518518517,0.611111111111111
9,4,49,0.3469387755102041,0.3469387755102041,0.12244897959183676
9,5,53,0.09433962264150944,0.09433962264150944,0.09433962264150944
9,6,52,0.21153846153846154,0.21153846153846154,0.11538461538461539
9,7,58,0.034482758620689655,0.034482758620689655,0.0
9,8,62,0.0967741935483871,0.0967741935483871,0.04838709677419356
10,0,51,0.35294117647058826,-0.019607843137254888,0.15686274509803916
10,1,45,0.24444444444444444,-0.5555555555555556,0.5555555555555556
10,2,51,0.11764705882352941,0.11764705882352941,0.0392156862745098
10,3,54,0.05555555555555555,-0.018518518518518517,0.611111111111111
10,4,49,0.40816326530612246,0.40816326530612246,0.06122448979591838
10,5,53,0.11320754716981132,0.11320754716981132,0.07547169811320756
10,6,52,0.11538461538461539,0.11538461538461539,0.21153846153846154
10,7,58,0.034482758620689655,0.034482758620689655,0.0
10,8,62,0.16129032258064516,0.16129032258064516,0.0
11,0,51,0.0,-0.37254901960784315,0.5098039215686274
11,1,45,0.022222222222222223,-0.7777777777777778,0.7777777777777778
11,2,51,0.0,0.0,0.1568627450980392
11,3,54,0.0,-0.07407407407407407,0.6666666666666666
11,4,49,0.0,0.0,0.46938775510204084
11,5,53,0.18867924528301888,0.18867924528301888,0.0
11,6,52,0.5384615384615384,0.5384615384615384,0.0
11,7,58,0.0,0.0,0.034482758620689655
11,8,62,0.0,0.0,0.16129032258064516
11,9,66,0.3333333333333333,,
11,10,71,0.028169014084507043,,
11,11,68,0.25,,
11,12,54,0.07407407407407407,,
11,13,66,0.0,,
11,14,60,0.1,,
11,15,54,0.0,,
11,16,71,0.11267605633802817,,
11,17,60,0.05,,
12,0,51,0.0,-0.37254901960784315,0.5098039215686274
12,1,45,0.0,-0.8,0.8
12,2,51,0.0,0.0,0.1568627450980392
12,3,54,0.0,-0.07407407407407407,0.6666666666666666
12,4,49,0.0,0.0,0.46938775510204084
12,5,53,0.0,0.0,0.18867924528301888
12,6,52,0.0,0.0,0.5384615384615384
12,7,58,0.0,0.0,0.034482758620689655
12,8,62,0.0,0.0,0.16129032258064516
12,9,66,0.18181818181818182,-0.1515151515151515,0.1515151515151515
12,10,71,0.08450704225352113,0.05633802816901408,0.0
12,11,68,0.04411764705882353,-0.20588235294117646,0.20588235294117646
12,12,54,0.18518518518518517,0.1111111111111111,0.0
12,13,66,0.07575757575757576,0.07575757575757576,0.0
12,14,60,0.05,-0.05,0.05
12,15,54,0.0,0.0,0.0
12,16,71,0.30985915492957744,0.19718309859154926,0.0
12,17,60,0.48333333333333334,0.43333333333333335,0.0
13,0,51,0.0,-0.37254901960784315,0.5098039215686274
13,1,45,0.0,-0.8,0.8
13,2,51,0.0,0.0,0.1568627450980392
13,3,54,0.0,-0.07407407407407407,0.6666666666666666
13,4,49,0.0,0.0,0.46938775510204084
13,5,53,0.0,0.0,0.18867924528301888
13,6,52,0.0,0.0,0.5384615384615384
13,7,58,0.0,0.0,0.034482758620689655
13,8,62,0.0,0.0,0.16129032258064516
13,9,66,0.3787878787878788,0.04545454545454547,0.0
13,10,71,0.028169014084507043,0.0,0.05633802816901408
13,11,68,0.11764705882352941,-0.1323529411764706,0.1323529411764706
13,12,54,0.12962962962962962,0.05555555555555555,0.05555555555555555
13,13,66,0.015151515151515152,0.015151515151515152,0.06060606060606061
13,14,60,0.11666666666666667,0.016666666666666663,0.0
13,15,54,0.2222222222222222,0.2222222222222222,0.0
13,16,71,0.704225352112676,0.5915492957746479,0.0
13,17,60,0.016666666666666666,-0.03333333333333334,0.4666666666666667
14,0,51,0.0,-0.37254901960784315,0.5098039215686274
14,1,45,0.0,-0.8,0.8
14,2,51,0.0,0.0,0.1568627450980392
14,3,54,0.0,-0.07407407407407407,0.6666666666666666
14,4,49,0.0,0.0,0.46938775510204084
14,5,53,0.0,0.0,0.18867924528301888
14,6,52,0.0,0.0,0.5384615384615384
14,7,58,0.0,0.0,0.034482758620689655
14,8,62,0.0,0.0,0.16129032258064516
14,9,66,0.36363636363636365,0.03030303030303033,0.015151515151515138
14,10,71,0.04225352112676056,0.01408450704225352,0.04225352112676056
14,11,68,0.08823529411764706,-0.16176470588235292,0.16176470588235292
14,12,54,0.18518518518518517,0.1111111111111111,0.0
14,13,66,0.045454545454545456,0.045454545454545456,0.030303030303030304
14,14,60,0.11666666666666667,0.016666666666666663,0.0
14,15,54,0.12962962962962962,0.12962962962962962,0.09259259259259259
14,16,71,0.49295774647887325,0.38028169014084506,0.21126760563380276
14,17,60,0.16666666666666666,0.11666666666666665,0.31666666666666665
15,0,51,0.0,-0.37254901960784315,0.5098039215686274
15,1,45,0.0,-0.8,0.8
15,2,51,0.0,0.0,0.1568627450980392
15,3,54,0.0,-0.07407407407407407,0.6666666666666666
15,4,49,0.0,0.0,0.46938775510204084
15,5,53,0.0,0.0,0.18867924528301888
15,6,52,0.0,0.0,0.5384615384615384
15,7,58,0.0,0.0,0.034482758620689655
15,8,62,0.0,0.0,0.16129032258064516
15,9,66,0.3939393939393939,0.06060606060606061,0.0
15,10,71,0.028169014084507043,0.0,0.05633802816901408
15,11,68,0.1323529411764706,-0.11764705882352941,0.11764705882352941
15,12,54,0.2962962962962963,0.2222222222222222,0.0
15,13,66,0.015151515151515152,0.015151515151515152,0.06060606060606061
15,14,60,0.13333333333333333,0.033333333333333326,0.0
15,15,54,0.3888888888888889,0.3888888888888889,0.0
15,16,71,0.6197183098591549,0.5070422535211268,0.08450704225352113
15,17,60,0.016666666666666666,-0.03333333333333334,0.4666666666666667
16,0,51,0.0,-0.37254901960784315,0.5098039215686274
16,1,45,0.0,-0.8,0.8
16,2,51,0.0,0.0,0.1568627450980392
16,3,54,0.0,-0.07407407407407407,0.6666666666666666
16,4,49,0.0,0.0,0.46938775510204084
16,5,53,0.0,0.0,0.18867924528301888
16,6,52,0.0,0.0,0.5384615384615384
16,7,58,0.0,0.0,0.034482758620689655
16,8,62,0.0,0.0,0.16129032258064516
16,9,66,0.4090909090909091,0.0757575757575758,0.0
16,10,71,0.056338028169014086,0.028169014084507043,0.02816901408450704
16,11,68,0.10294117647058823,-0.14705882352941177,0.14705882352941177
16,12,54,0.2222222222222222,0.14814814814814814,0.07407407407407407
16,13,66,0.12121212121212122,0.12121212121212122,0.0
16,14,60,0.13333333333333333,0.033333333333333326,0.0
16,15,54,0.2962962962962963,0.2962962962962963,0.09259259259259262
16,16,71,0.43661971830985913,0.32394366197183094,0.2676056338028169
16,17,60,0.16666666666666666,0.11666666666666665,0.31666666666666665
17,0,51,0.0,-0.37254901960784315,0.5098039215686274
17,1,45,0.0,-0.8,0.8
17,2,51,0.0,0.0,0.1568627450980392
17,3,54,0.0,-0.07407407407407407,0.6666666666666666
17,4,49,0.0,0.0,0.46938775510204084
17,5,53,0.0,0.0,0.18867924528301888
17,6,52,0.0,0.0,0.5384615384615384
17,7,58,0.0,0.0,0.034482758620689655
17,8,62,0.0,0.0,0.16129032258064516
17,9,66,0.3787878787878788,0.04545454545454547,0.03030303030303033
17,10,71,0.04225352112676056,0.01408450704225352,0.04225352112676056
17,11,68,0.10294117647058823,-0.14705882352941177,0.14705882352941177
17,12,54,0.3333333333333333,0.25925925925925924,0.0
17,13,66,0.045454545454545456,0.045454545454545456,0.07575757575757576
17,14,60,0.13333333333333333,0.033333333333333326,0.0
17,15,54,0.46296296296296297,0.46296296296296297,0.0
17,16,71,0.6056338028169014,0.4929577464788732,0.09859154929577463
17,17,60,0.08333333333333333,0.033333333333333326,0.4
18,0,51,0.0,-0.37254901960784315,0.5098039215686274
18,1,45,0.0,-0.8,0.8
18,2,51,0.0,0.0,0.1568627450980392
18,3,54,0.0,-0.07407407407407407,0.6666666666666666
18,4,49,0.0,0.0,0.46938775510204084
18,5,53,0.0,0.0,0.18867924528301888
18,6,52,0.0,0.0,0.5384615384615384
18,7,58,0.0,0.0,0.034482758620689655
18,8,62,0.0,0.0,0.16129032258064516
18,9,66,0.4696969696969697,0.1363636363636364,0.0
18,10,71,0.04225352112676056,0.01408450704225352,0.04225352112676056
18,11,68,0.11764705882352941,-0.1323529411764706,0.1323529411764706
18,12,54,0.25925925925925924,0.18518518518518517,0.07407407407407407
18,13,66,0.09090909090909091,0.09090909090909091,0.030303030303030304
18,14,60,0.11666666666666667,0.016666666666666663,0.016666666666666663
18,15,54,0.37037037037037035,0.37037037037037035,0.09259259259259262
18,16,71,0.4084507042253521,0.29577464788732394,0.2957746478873239
18,17,60,0.15,0.09999999999999999,0.33333333333333337
19,0,51,0.0,-0.37254901960784315,0.5098039215686274
19,1,45,0.0,-0.8,0.8
19,2,51,0.0,0.0,0.1568627450980392
19,3,54,0.0,-0.07407407407407407,0.6666666666666666
19,4,49,0.0,0.0,0.46938775510204084
19,5,53,0.0,0.0,0.18867924528301888
19,6,52,0.0,0.0,0.5384615384615384
19,7,58,0.0,0.0,0.034482758620689655
19,8,62,0.0,0.0,0.16129032258064516
19,9,66,0.3787878787878788,0.04545454545454547,0.09090909090909094
19,10,71,0.056338028169014086,0.028169014084507043,0.02816901408450704
19,11,68,0.14705882352941177,-0.10294117647058823,0.10294117647058823
19,12,54,0.3333333333333333,0.25925925925925924,0.0
19,13,66,0.06060606060606061,0.06060606060606061,0.06060606060606061
19,14,60,0.11666666666666667,0.016666666666666663,0.016666666666666663
19,15,54,0.4074074074074074,0.4074074074074074,0.05555555555555558
19,16,71,0.5492957746478874,0.4366197183098592,0.15492957746478864
19,17,60,0.08333333333333333,0.033333333333333326,0.4
20,0,51,0.0,-0.37254901960784315,0.5098039215686274
20,1,45,0.0,-0.8,0.8
20,2,51,0.0,0.0,0.1568627450980392
20,3,54,0.0,-0.07407407407407407,0.6666666666666666
20,4,49,0.0,0.0,0.46938775510204084
20,5,53,0.0,0.0,0.18867924528301888
20,6,52,0.0,0.0,0.5384615384615384
20,7,58,0.0,0.0,0.034482758620689655
20,8,62,0.0,0.0,0.16129032258064516
20,9,66,0.5454545454545454,0.2121212121212121,0.0
20,10,71,0.04225352112676056,0.01408450704225352,0.04225352112676056
20,11,68,0.08823529411764706,-0.16176470588235292,0.16176470588235292
20,12,54,0.3148148148148148,0.24074074074074076,0.01851851851851849
20,13,66,0.06060606060606061,0.06060606060606061,0.06060606060606061
20,14,60,0.1,0.0,0.033333333333333326
20,15,54,0.4444444444444444,0.4444444444444444,0.018518518518518545
20,16,71,0.43661971830985913,0.32394366197183094,0.2676056338028169
20,17,60,0.13333333333333333,0.08333333333333333,0.35
21,0,51,0.0,-0.37254901960784315,0.5098039215686274
21,1,45,0.0,-0.8,0.8
21,2,51,0.0,0.0,0.1568627450980392
21,3,54,0.0,-0.07407407407407407,0.6666666666666666
21,4,49,0.0,0.0,0.46938775510204084
21,5,53,0.03773584905660377,0.03773584905660377,0.15094339622641512
21,6,52,0.0,0.0,0.5384615384615384
21,7,58,0.0,0.0,0.034482758620689655
21,8,62,0.0,0.0,0.16129032258064516
21,9,66,0.0,-0.3333333333333333,0.5454545454545454
21,10,71,0.0,-0.028169014084507043,0.08450704225352113
21,11,68,0.0,-0.25,0.25
21,12,54,0.0,-0.07407407407407407,0.3333333333333333
21,13,66,0.0,0.0,0.12121212121212122
21,14,60,0.0,-0.1,0.13333333333333333
21,15,54,0.5185185185185185,0.5185185185185185,0.0
21,16,71,0.0,-0.11267605633802817,0.704225352112676
21,17,60,0.0,-0.05,0.48333333333333334
21,18,66,0.7575757575757576,,
21,19,52,0.11538461538461539,,
21,20,92,0.08695652173913043,,
21,21,55,0.03636363636363636,,
21,22,57,0.6491228070175439,,
21,23,46,0.0,,
21,24,48,0.0,,
21,25,81,0.0,,
21,26,73,0.0,,
22,0,51,0.0,-0.37254901960784315,0.5098039215686274
22,1,45,0.0,-0.8,0.8
22,2,51,0.0,0.0,0.1568627450980392
22,3,54,0.0,-0.07407407407407407,0.6666666666666666
22,4,49,0.0,0.0,0.46938775510204084
22,5,53,0.0,0.0,0.18867924528301888
22,6,52,0.0,0.0,0.5384615384615384
22,7,58,0.0,0.0,0.034482758620689655
22,8,62,0.0,0.0,0.16129032258064516
22,9,66,0.0,-0.3333333333333333,0.5454545454545454
22,10,71,0.056338028169014086,0.028169014084507043,0.02816901408450704
22,11,68,0.07352941176470588,-0.1764705882352941,0.1764705882352941
22,12,54,0.0,-0.07407407407407407,0.3333333333333333
22,13,66,0.015151515151515152,0.015151515151515152,0.10606060606060606
22,14,60,0.06666666666666667,-0.03333333333333334,0.06666666666666667
22,15,54,0.018518518518518517,0.018518518518518517,0.5
22,16,71,0.11267605633802817,0.0,0.5915492957746479
22,17,60,0.06666666666666667,0.016666666666666663,0.4166666666666667
22,18,66,0.045454545454545456,-0.7121212121212122,0.7121212121212122
22,19,52,0.2692307692307692,0.15384615384615383,0.0
22,20,92,0.06521739130434782,-0.021739130434782608,0.021739130434782608
22,21,55,0.2,0.16363636363636364,0.0
22,22,57,0.017543859649122806,-0.631578947368421,0.631578947368421
22,23,46,0.10869565217391304,0.10869565217391304,0.0
22,24,48,0.2708333333333333,0.2708333333333333,0.0
22,25,81,0.09876543209876543,0.09876543209876543,0.0
22,26,73,0.3835616438356164,0.3835616438356164,0.0
23,0,51,0.0,-0.37254901960784315,0.5098039215686274
23,1,45,0.0,-0.8,0.8
23,2,51,0.0,0.0,0.1568627450980392
23,3,54,0.0,-0.07407407407407407,0.6666666666666666
23,4,49,0.0,0.0,0.46938775510204084
23,5,53,0.0,0.0,0.18867924528301888
23,6,52,0.0,0.0,0.5384615384615384
23,7,58,0.0,0.0,0.034482758620689655
