round,class_id,n,acc,bwt,forgetting
1,0,51,0.0392156862745098,,
1,1,45,0.9777777777777777,,
1,2,51,0.0,,
1,3,54,0.0,,
1,4,49,0.0,,
1,5,53,0.0,,
1,6,52,0.0,,
1,7,58,0.0,,
1,8,62,0.0,,
2,0,51,0.27450980392156865,0.23529411764705885,0.0
2,1,45,0.08888888888888889,-0.8888888888888888,0.8888888888888888
2,2,51,0.0,0.0,0.0
2,3,54,0.37037037037037035,0.37037037037037035,0.0
2,4,49,0.7551020408163265,0.7551020408163265,0.0
2,5,53,0.0,0.0,0.0
2,6,52,0.0,0.0,0.0
2,7,58,0.0,0.0,0.0
2,8,62,0.0,0.0,0.0
3,0,51,0.5098039215686274,0.47058823529411764,0.0
3,1,45,0.26666666666666666,-0.711111111111111,0.711111111111111
3,2,51,0.0,0.0,0.0
3,3,54,0.09259259259259259,0.09259259259259259,0.2777777777777778
3,4,49,0.5306122448979592,0.5306122448979592,0.22448979591836726
3,5,53,0.0,0.0,0.0
3,6,52,0.0,0.0,0.0
3,7,58,0.0,0.0,0.0
3,8,62,0.0,0.0,0.0
4,0,51,0.39215686274509803,0.3529411764705882,0.11764705882352938
4,1,45,0.28888888888888886,-0.6888888888888889,0.6888888888888889
4,2,51,0.0,0.0,0.0
4,3,54,0.48148148148148145,0.48148148148148145,0.0
4,4,49,0.30612244897959184,0.30612244897959184,0.44897959183673464
4,5,53,0.11320754716981132,0.11320754716981132,0.0
4,6,52,0.11538461538461539,0.11538461538461539,0.0
4,7,58,0.0,0.0,0.0
4,8,62,0.08064516129032258,0.08064516129032258,0.0
5,0,51,0.3137254901960784,0.27450980392156865,0.196078431372549
5,1,45,0.4666666666666667,-0.5111111111111111,0.5111111111111111
5,2,51,0.0,0.0,0.0
5,3,54,0.4074074074074074,0.4074074074074074,0.07407407407407407
5,4,49,0.3469387755102041,0.3469387755102041,0.4081632653061224
5,5,53,0.09433962264150944,0.09433962264150944,0.018867924528301883
5,6,52,0.09615384615384616,0.09615384615384616,0.019230769230769232
5,7,58,0.0,0.0,0.0
5,8,62,0.03225806451612903,0.03225806451612903,0.04838709677419355
6,0,51,0.27450980392156865,0.23529411764705885,0.23529411764705876
6,1,45,0.6444444444444445,-0.33333333333333326,0.33333333333333326
6,2,51,0.0196078431372549,0.0196078431372549,0.0
6,3,54,0.2037037037037037,0.2037037037037037,0.2777777777777778
6,4,49,0.32653061224489793,0.32653061224489793,0.42857142857142855
6,5,53,0.07547169811320754,0.07547169811320754,0.03773584905660378
6,6,52,0.07692307692307693,0.07692307692307693,0.038461538461538464
6,7,58,0.0,0.0,0.0
6,8,62,0.016129032258064516,0.016129032258064516,0.06451612903225806
7,0,51,0.3333333333333333,0.2941176470588235,0.1764705882352941
7,1,45,0.4444444444444444,-0.5333333333333333,0.5333333333333333
7,2,51,0.13725490196078433,0.13725490196078433,0.0
7,3,54,0.07407407407407407,0.07407407407407407,0.4074074074074074
7,4,49,0.3877551020408163,0.3877551020408163,0.36734693877551017
