round,class_id,n,acc,bwt,forgetting
1,0,51,0.0,,
1,1,45,1.0,,
1,2,51,0.0,,
1,3,54,0.0,,
1,4,49,0.0,,
1,5,53,0.0,,
1,6,52,0.0,,
1,7,58,0.0,,
1,8,62,0.0,,
2,0,51,0.7254901960784313,0.7254901960784313,0.0
2,1,45,0.37777777777777777,-0.6222222222222222,0.6222222222222222
2,2,51,0.0,0.0,0.0
2,3,54,0.0,0.0,0.0
2,4,49,0.04081632653061224,0.04081632653061224,0.0
2,5,53,0.0,0.0,0.0
2,6,52,0.0,0.0,0.0
2,7,58,0.0,0.0,0.0
2,8,62,0.0,0.0,0.0
3,0,51,0.3137254901960784,0.3137254901960784,0.4117647058823529
3,1,45,0.5111111111111111,-0.48888888888888893,0.48888888888888893
3,2,51,0.0,0.0,0.0
3,3,54,0.018518518518518517,0.018518518518518517,0.0
3,4,49,0.42857142857142855,0.42857142857142855,0.0
3,5,53,0.0,0.0,0.0
3,6,52,0.0,0.0,0.0
3,7,58,0.0,0.0,0.0
3,8,62,0.0,0.0,0.0
4,0,51,0.29411764705882354,0.29411764705882354,0.4313725490196078
4,1,45,0.35555555555555557,-0.6444444444444444,0.6444444444444444
4,2,51,0.0196078431372549,0.0196078431372549,0.0
4,3,54,0.25925925925925924,0.25925925925925924,0.0
4,4,49,0.24489795918367346,0.24489795918367346,0.18367346938775508
4,5,53,0.11320754716981132,0.11320754716981132,0.0
4,6,52,0.11538461538461539,0.11538461538461539,0.0
4,7,58,0.034482758620689655,0.034482758620689655,0.0
4,8,62,0.1935483870967742,0.1935483870967742,0.0
5,0,51,0.3137254901960784,0.3137254901960784,0.4117647058823529
5,1,45,0.6,-0.4,0.4
5,2,51,0.0,0.0,0.0196078431372549
5,3,54,0.3148148148148148,0.3148148148148148,0.0
5,4,49,0.32653061224489793,0.32653061224489793,0.10204081632653061
5,5,53,0.07547169811320754,0.07547169811320754,0.03773584905660378
5,6,52,0.09615384615384616,0.09615384615384616,0.019230769230769232
5,7,58,0.0,0.0,0.034482758620689655
5,8,62,0.06451612903225806,0.06451612903225806,0.12903225806451613
6,0,51,0.29411764705882354,0.29411764705882354,0.4313725490196078
6,1,45,0.4444444444444444,-0.5555555555555556,0.5555555555555556
6,2,51,0.0,0.0,0.0196078431372549
6,3,54,0.35185185185185186,0.35185185185185186,0.0
6,4,49,0.3469387755102041,0.3469387755102041,0.08163265306122447
6,5,53,0.07547169811320754,0.07547169811320754,0.03773584905660378
6,6,52,0.07692307692307693,0.07692307692307693,0.038461538461538464
6,7,58,0.017241379310344827,0.017241379310344827,0.017241379310344827
6,8,62,0.16129032258064516,0.16129032258064516,0.03225806451612903
7,0,51,0.27450980392156865,0.27450980392156865,0.4509803921568627
7,1,45,0.5111111111111111,-0.48888888888888893,0.48888888888888893
7,2,51,0.0,0.0,0.0196078431372549
7,3,54,0.3333333333333333,0.3333333333333333,0.018518518518518545
7,4,49,0.40816326530612246,0.40816326530612246,0.02040816326530609
7,5,53,0.05660377358490566,0.05660377358490566,0.05660377358490566
7,6,52,0.057692307692307696,0.057692307692307696,0.057692307692307696
7,7,58,0.017241379310344827,0.017241379310344827,0.017241379310344827
7,8,62,0.0967741935483871,0.0967741935483871,0.0967741935483871
8,0,51,0.3333333333333333,0.3333333333333333,0.39215686274509803
8,1,45,0.4888888888888889,-0.5111111111111111,0.5111111111111111
8,2,51,0.0392156862745098,0.0392156862745098,0.0
